"Date","RV","SPX","R","VIX","RX","TDate","Forward","VixOne","FP","Limit","CLimit","Put","Call","LImp","RImp","LReturn","RReturn","AR","AR2","AR3","RV20","RV10","RV5","Y","M","CX","Win","Profit","CWin","CProfit","pLow","pHigh","breakLow","breakHigh","LowAcc","HighAcc","LeftGo","RightGo","TX"
2026-04-23,0.00752948886900396,7108.4,-0.00414143211416196,0.1931,0.00227640089871442,2026-04-24,7103.55,0.17427582430168,-0.0682524240273322,7060,7150,1,1.05,0.2,0.21,-0.00614960758377014,0.00651769761699542,0.00414143211416196,0.0104057365141603,0.00636840117070037,0.0114661125698774,0.0071478375525436,0.00861513752204933,"2026","04",7124.6,TRUE,1,TRUE,1.05,7095,7165,0,0,0.2,0.2,0.993615627288818,-0.368749141693115,0.05
2026-04-22,0.00424334975002845,7137.9,0.0104057365141603,0.197,-0.00414143211416213,2026-04-23,7130,0.146165063766948,-0.110738101715168,7095,7165,0.95,1.05,0.19,0.21,-0.00492092381419857,0.00489682685393059,0.0104057365141603,0.00636840117070037,0.00237720691919741,0.0113170893553706,0.00654949128900442,0.00793426229943875,"2026","04",7108.4,TRUE,0.95,TRUE,1.05,7045,7145,0,0,0.2,0.2,-0.999996602535248,0.683163523674011,-0.1
2026-04-21,0.00646510641015001,7064.01,-0.00636840117070037,0.1885,0.0104057365141602,2026-04-22,7093.65,0.194238303292394,0.418713873681808,7045,7145,1.05,1.05,0.21,0.21,-0.00688187231537046,0.00721279371581657,0.00636840117070037,0.00237720691919741,0.0119685151942477,0.0113543629059051,0.00897022199594749,0.00743998720988813,"2026","04",7137.9,TRUE,1.05,TRUE,1.05,7080,7150,1,0,0.2,0.4,0.985137045383453,-0.999997437000275,0
2026-04-20,0.00433370291291488,7109.14,-0.00237720691919741,0.1887,-0.00636840117070097,2026-04-21,7111.0101010101,0.144430571736326,0.0263021277215498,7080,7150,1,1,0.2,0.2,-0.00437039367148396,0.00546805532880388,0.00237720691919741,0.0119685151942477,0.00260661413792285,0.0112322720979128,0.00806850522558315,0.00618580269311143,"2026","04",7064.01,FALSE,-4,TRUE,1,7090,7175,0,0,0,0.6,-0.994860827922821,-0.989232301712036,-3
2026-04-17,0.00545603869792435,7126.06,0.0119685151942477,0.1748,-0.00237720691919588,2026-04-20,7129.05,0.0979253192033884,0.0419498698199994,7090,7175,1,1,0.2,0.2,-0.00549264517325657,0.00642477592839209,0.0119685151942477,0.00260661413792285,0.00794410028150772,0.0119866586354646,0.0074282150870003,0.00385174646618551,"2026","04",7109.14,TRUE,1,TRUE,1,7010,7075,0,1,0,0.8,-1,0.999999761581421,0
2026-04-16,0.0051213885197731,7041.28,0.00260661413792285,0.1794,0.011968515194246,2026-04-17,7040.95959595959,0.143237837644899,-0.00455046994872485,7010,7075,0.9,1,0.18,0.2,-0.00440676607886086,0.00482297640394173,0.00260661413792285,0.00794410028150772,0.0117140397708582,0.0119094459048839,0.00756404368758225,0.00537566424017844,"2026","04",7126.06,TRUE,0.9,FALSE,-4,6985,7050,0,0,0,0.6,-0.975100934505463,0.647286951541901,4.9
2026-04-15,0.00443657099196315,7022.95,0.00794410028150772,0.1817,0.0026066141379231,2026-04-16,7017.85,0.150943129175008,-0.072645436503441,6985,7050,1,1.05,0.2,0.21,-0.00469191061296413,0.00457071350228797,0.00794410028150772,0.0117140397708582,0.0101218615143601,0.0124856604915928,0.007416083534004,0.00499543797585307,"2026","04",7041.28,TRUE,1,TRUE,1.05,6935,6995,0,1,0,0.6,-0.999996721744537,0.998287796974182,-0.05
2026-04-14,0.00343882808730226,6967.38,0.0117140397708582,0.1836,0.00794410028150859,2026-04-15,6963.45,0.149692483305859,-0.0564216217448175,6935,6995,1.05,1.1,0.21,0.22,-0.00409398742117193,0.00452056692947767,0.0117140397708582,0.0101218615143601,0.00113916686010818,0.012413734490859,0.0100554752019362,0.00948072708315948,"2026","04",7022.95,TRUE,1.05,FALSE,-3.9,6860,6920,0,1,0,0.6,-1,0.999220728874207,4.95
2026-04-13,0.0054608131318704,6886.24,0.0101218615143601,0.1912,0.0117140397708578,2026-04-14,6885.29702970297,0.140628497876376,-0.0136944815450771,6860,6920,1.05,0.9,0.21,0.18,-0.00368083108131244,0.00502749681047195,0.0101218615143601,0.00113916686010818,0.00615105261316629,0.0123513849810015,0.0108408716561407,0.0103088684367982,"2026","04",6967.38,TRUE,1.05,FALSE,-4.1,6770,6870,0,1,0,0.4,-1,0.999997675418854,5.15
2026-04-10,0.00431867621229985,6816.89,-0.00113916686010818,0.1923,0.0101218615143601,2026-04-13,6816.9,0.133169657654595,0.000146694352760537,6770,6870,1,1.1,0.2,0.22,-0.0069037361395409,0.0077592831705335,0.00113916686010818,0.00615105261316629,0.0247720444773396,0.0123135235859167,0.0132847374127365,0.0103493301305774,"2026","04",6886.24,TRUE,1,FALSE,-3.9,6785,6860,0,0,0,0.2,-0.997753083705902,0.837752640247345,4.9
